index;nartist_with_flow;nartist_with_flow_listened;nmidia_regular_listened;nmidia_regular;nmidia_with_flow;nmidia_max_repet;nartist_regular_listened;nartist_regular;nmidia_with_flow_listened
250;0;0;0;1;0;2;0;1;0
253;1;0;0;0;1;2;0;0;0
254;1;1;0;0;2;2;0;0;2
260;1;0;0;0;1;2;0;0;0
261;1;1;0;0;1;2;0;0;1
265;0;0;1;1;0;2;1;1;0
266;0;0;0;1;0;2;0;1;0
270;0;0;0;2;0;2;0;1;0
273;2;2;0;0;3;2;0;0;3
274;1;0;0;0;1;2;0;0;0
276;1;1;0;0;1;2;0;0;1
278;0;0;0;1;0;2;0;1;0
279;0;0;1;1;0;2;1;1;0
284;1;1;0;0;1;2;0;0;1
285;1;1;1;1;1;2;1;1;1
303;1;0;0;0;1;2;0;0;0
317;0;0;0;1;0;2;0;1;0
318;1;1;2;2;1;2;1;1;1
319;1;1;0;0;1;2;0;0;1
325;0;0;1;1;0;2;1;1;0
326;1;1;0;0;1;2;0;0;1
327;1;0;0;0;1;2;0;0;0
329;0;0;0;1;0;2;0;1;0
332;0;0;1;1;0;2;1;1;0
336;0;0;3;3;0;2;3;3;0
341;0;0;4;4;0;2;3;3;0
343;0;0;1;1;0;2;1;1;0
348;0;0;12;12;0;2;1;1;0
349;1;1;0;0;1;2;0;0;1
350;1;0;0;0;1;2;0;0;0
351;0;0;1;1;0;2;1;1;0
359;1;1;1;3;2;2;1;1;1
362;0;0;1;1;0;2;1;1;0
369;0;0;1;1;0;2;1;1;0
378;0;0;1;1;0;2;1;1;0
383;3;3;0;0;4;2;0;0;3
386;1;1;5;5;1;2;1;1;1
387;1;0;0;0;1;2;0;0;0
393;1;0;0;0;1;2;0;0;0
395;1;1;0;0;1;2;0;0;1
400;0;0;1;1;0;2;1;1;0
402;0;0;0;1;0;2;0;1;0
405;0;0;0;3;0;2;0;1;0
414;1;0;0;0;1;2;0;0;0
421;1;1;0;0;2;2;0;0;2
423;0;0;6;6;0;2;1;1;0
429;0;0;0;1;0;2;0;1;0
433;1;1;1;1;2;2;1;1;2
440;0;0;1;2;0;2;1;1;0
441;0;0;2;2;0;2;1;1;0
445;2;2;0;0;2;2;0;0;2
448;2;0;0;0;2;2;0;0;0
452;0;0;0;1;0;2;0;1;0
457;0;0;2;3;0;2;1;1;0
460;1;1;0;0;1;2;0;0;1
462;0;0;0;1;0;2;0;1;0
463;0;0;1;1;0;2;1;1;0
469;1;0;1;1;1;2;1;1;0
472;1;1;1;3;1;2;1;2;1
473;0;0;1;1;0;2;1;1;0
475;1;1;0;0;1;2;0;0;1
478;0;0;2;2;0;2;2;2;0
482;1;0;0;2;1;2;0;2;0
485;0;0;3;3;0;2;1;1;0
487;0;0;1;1;0;2;1;1;0
488;2;0;0;0;2;2;0;0;0
490;1;1;0;0;1;2;0;0;1
493;1;1;0;0;1;2;0;0;1
506;0;0;1;1;0;2;1;1;0
509;1;1;1;1;1;2;1;1;1
512;1;1;0;0;1;2;0;0;1
516;0;0;2;2;0;2;1;1;0
518;1;1;0;0;2;2;0;0;2
519;0;0;1;1;0;2;1;1;0
520;0;0;1;1;0;2;1;1;0
525;1;1;0;0;1;2;0;0;1
532;1;1;0;0;1;2;0;0;1
537;0;0;2;2;0;2;1;1;0
538;0;0;17;18;0;2;11;11;0
541;0;0;0;1;0;2;0;1;0
551;1;1;0;0;1;2;0;0;1
553;0;0;1;1;0;2;1;1;0
561;1;1;1;1;1;2;1;1;1
562;0;0;0;2;0;2;0;1;0
564;1;1;0;0;2;2;0;0;1
565;1;1;0;0;3;2;0;0;3
567;1;1;0;0;1;2;0;0;1
568;0;0;1;1;0;2;1;1;0
571;1;1;0;0;1;2;0;0;1
573;1;0;3;3;1;2;1;1;0
584;1;1;4;4;1;2;3;3;1
593;0;0;1;1;0;2;1;1;0
599;2;0;0;0;2;2;0;0;0
601;1;1;0;0;1;2;0;0;1
604;1;0;0;0;1;2;0;0;0
608;1;1;0;0;1;2;0;0;1
611;0;0;1;1;0;2;1;1;0
612;2;2;2;2;3;2;1;1;3
614;1;1;0;0;1;2;0;0;1
619;0;0;1;1;0;2;1;1;0
620;1;0;0;0;1;2;0;0;0
621;0;0;1;1;0;2;1;1;0
625;1;0;0;0;1;2;0;0;0
630;1;1;0;0;1;2;0;0;1
637;1;1;0;0;1;2;0;0;1
638;0;0;1;1;0;2;1;1;0
639;0;0;1;1;0;2;1;1;0
640;1;0;0;0;1;2;0;0;0
647;1;1;0;0;2;2;0;0;2
650;1;0;0;1;4;2;0;1;0
651;1;1;1;1;1;2;1;1;1
652;1;1;2;2;1;2;2;2;1
653;1;0;0;0;1;2;0;0;0
655;1;0;0;0;1;2;0;0;0
661;0;0;2;2;0;2;1;1;0
663;1;0;0;0;1;2;0;0;0
669;3;0;0;0;3;2;0;0;0
670;0;0;1;1;0;2;1;1;0
672;2;1;6;8;3;2;2;2;2
673;1;1;0;0;2;2;0;0;1
678;0;0;1;1;0;2;1;1;0
679;0;0;0;1;0;2;0;1;0
681;0;0;0;2;0;2;0;2;0
684;0;0;1;1;0;2;1;1;0
686;0;0;1;1;0;2;1;1;0
687;1;1;0;0;1;2;0;0;1
690;1;1;0;0;1;2;0;0;1
696;1;0;0;0;1;2;0;0;0
697;0;0;1;1;0;2;1;1;0
698;1;1;0;0;1;2;0;0;1
702;1;0;0;0;1;2;0;0;0
703;0;0;0;1;0;2;0;1;0
708;1;0;0;0;1;2;0;0;0
712;1;1;0;1;1;2;0;1;1
713;0;0;2;2;0;2;1;1;0
716;1;0;0;0;1;2;0;0;0
720;1;1;0;0;1;2;0;0;1
727;1;0;0;0;1;2;0;0;0
729;1;0;0;0;1;2;0;0;0
737;1;0;0;0;1;2;0;0;0
739;0;0;1;1;0;2;1;1;0
742;0;0;1;2;0;2;1;2;0
744;1;0;0;0;2;2;0;0;0
745;1;1;0;0;1;2;0;0;1
752;1;1;0;0;1;2;0;0;1
754;2;2;0;0;2;2;0;0;2
757;1;1;0;1;2;2;0;1;1
758;0;0;0;1;0;2;0;1;0
765;0;0;0;3;0;2;0;2;0
768;1;0;0;0;1;2;0;0;0
770;1;1;0;0;2;2;0;0;1
772;2;1;0;1;2;2;0;1;1
779;0;0;1;1;0;2;1;1;0
782;2;1;0;0;2;2;0;0;1
792;1;1;0;0;1;2;0;0;1
797;0;0;1;1;0;2;1;1;0
808;0;0;1;1;0;2;1;1;0
818;1;1;0;0;1;2;0;0;1
821;0;0;1;1;0;2;1;1;0
822;1;1;0;0;1;2;0;0;1
825;0;0;1;1;0;2;1;1;0
826;1;1;0;0;2;2;0;0;2
828;0;0;1;1;0;2;1;1;0
829;0;0;1;1;0;2;1;1;0
834;0;0;2;2;0;2;1;1;0
836;0;0;0;1;0;2;0;1;0
838;1;1;2;2;2;2;1;1;1
839;0;0;0;1;0;2;0;1;0
841;2;2;1;2;2;2;1;1;2
842;2;2;0;0;2;2;0;0;2
846;1;1;0;0;1;2;0;0;1
852;1;1;0;0;1;2;0;0;1
861;0;0;1;1;0;2;1;1;0
862;1;1;3;3;2;2;1;1;1
863;0;0;1;1;0;2;1;1;0
864;1;0;0;0;1;2;0;0;0
868;1;0;2;2;1;2;1;1;0
869;1;1;0;0;2;2;0;0;2
871;0;0;0;1;0;2;0;1;0
879;0;0;3;3;0;2;1;1;0
889;1;1;2;2;1;2;1;1;1
893;0;0;0;1;0;2;0;1;0
895;1;1;0;0;1;2;0;0;1
898;1;1;1;1;2;2;1;1;1
925;0;0;0;3;0;2;0;2;0
926;0;0;1;1;0;2;1;1;0
931;0;0;1;1;0;2;1;1;0
935;1;1;0;0;1;2;0;0;1
938;0;0;1;1;0;2;1;1;0
941;2;2;0;0;2;2;0;0;2
943;0;0;0;1;0;2;0;1;0
947;0;0;1;1;0;2;1;1;0
950;2;0;0;0;2;2;0;0;0
954;2;2;1;1;2;2;1;1;2
956;1;1;0;0;1;2;0;0;1
959;0;0;1;1;0;2;1;1;0
968;1;0;0;0;1;2;0;0;0
972;0;0;0;1;0;2;0;1;0
979;0;0;2;2;0;2;1;1;0
982;1;0;0;0;1;2;0;0;0
984;0;0;0;1;0;2;0;1;0
987;0;0;1;1;0;2;1;1;0
993;0;0;1;1;0;2;1;1;0
999;0;0;2;2;0;2;1;1;0
1001;0;0;3;3;0;2;1;1;0
1006;1;1;0;0;1;2;0;0;1
1023;1;1;0;0;1;2;0;0;1
1025;1;0;0;0;1;2;0;0;0
1031;0;0;4;4;0;2;1;1;0
1040;1;1;0;0;1;2;0;0;1
1042;1;0;0;0;1;2;0;0;0
1043;0;0;0;1;0;2;0;1;0
1045;1;0;0;0;2;2;0;0;0
1046;1;1;0;0;1;2;0;0;1
1049;0;0;1;2;0;2;1;1;0
1051;0;0;1;1;0;2;1;1;0
1052;0;0;0;1;0;2;0;1;0
1056;0;0;2;2;0;2;1;1;0
1059;1;0;0;0;1;2;0;0;0
1060;0;0;0;1;0;2;0;1;0
1061;0;0;1;1;0;2;1;1;0
1065;1;1;0;0;1;2;0;0;1
1080;0;0;1;1;0;2;1;1;0
1089;0;0;1;1;0;2;1;1;0
1093;0;0;2;2;0;2;1;1;0
1095;1;0;1;1;1;2;1;1;0
1098;1;0;0;0;1;2;0;0;0
1100;0;0;0;1;0;2;0;1;0
1109;1;0;0;0;1;2;0;0;0
1110;1;1;0;0;1;2;0;0;1
1118;0;0;2;2;0;2;1;1;0
1119;0;0;2;2;0;2;2;2;0
1122;0;0;1;3;0;2;1;1;0
1126;1;0;0;0;1;2;0;0;0
1127;0;0;1;1;0;2;1;1;0
1131;0;0;1;1;0;2;1;1;0
1133;1;1;0;0;2;2;0;0;1
1134;0;0;3;3;0;2;1;1;0
1138;1;0;0;0;1;2;0;0;0
1147;0;0;1;1;0;2;1;1;0
1150;1;0;1;1;1;2;1;1;0
1155;0;0;1;1;0;2;1;1;0
1158;1;1;0;0;2;2;0;0;1
1161;0;0;1;1;0;2;1;1;0
1162;1;0;1;3;1;2;1;2;0
1166;0;0;1;1;0;2;1;1;0
1171;0;0;2;2;0;2;2;2;0
1178;0;0;1;1;0;2;1;1;0
1182;1;1;0;0;1;2;0;0;1
1183;0;0;0;1;0;2;0;1;0
1198;0;0;1;2;0;2;1;1;0
1200;1;0;0;0;1;2;0;0;0
1213;1;1;0;0;1;2;0;0;1
1215;2;2;4;4;2;2;2;2;2
1217;0;0;0;1;0;2;0;1;0
1219;0;0;3;3;0;2;1;1;0
1235;0;0;1;1;0;2;1;1;0
1236;1;0;0;0;1;2;0;0;0
1238;0;0;1;2;0;2;1;2;0
1241;0;0;1;1;0;2;1;1;0
1263;0;0;0;1;0;2;0;1;0
1273;1;0;0;0;1;2;0;0;0
1277;0;0;1;1;0;2;1;1;0
1284;0;0;1;1;0;2;1;1;0
1295;0;0;1;2;0;2;1;2;0
1298;1;1;0;0;1;2;0;0;1
1302;2;0;0;0;2;2;0;0;0
1306;1;1;0;0;2;2;0;0;2
1308;1;1;0;0;1;2;0;0;1
1309;0;0;1;1;0;2;1;1;0
1319;0;0;1;1;0;2;1;1;0
1325;1;1;0;0;1;2;0;0;1
1331;2;0;0;0;2;2;0;0;0
1335;1;0;0;2;2;2;0;2;0
1344;1;1;0;0;1;2;0;0;1
1373;0;0;1;1;0;2;1;1;0
1374;1;0;0;0;1;2;0;0;0
1382;1;1;0;0;1;2;0;0;1
1394;0;0;1;1;0;2;1;1;0
1408;0;0;0;1;0;2;0;1;0
1411;0;0;1;1;0;2;1;1;0
1413;0;0;1;1;0;2;1;1;0
1415;1;0;0;0;1;2;0;0;0
1422;1;0;0;0;1;2;0;0;0
1435;1;1;0;0;1;2;0;0;1
1438;0;0;2;2;0;2;2;2;0
1439;0;0;0;1;0;2;0;1;0
1442;2;2;0;0;2;2;0;0;2
1448;1;0;1;1;1;2;1;1;0
1450;0;0;1;1;0;2;1;1;0
1451;1;1;0;0;1;2;0;0;1
1454;1;0;0;0;1;2;0;0;0
1464;0;0;0;1;0;2;0;1;0
1469;1;1;0;0;1;2;0;0;1
1478;1;1;0;1;1;2;0;1;1
1482;1;0;2;2;1;2;1;1;0
1487;2;0;0;0;2;2;0;0;0
1488;1;0;0;0;1;2;0;0;0
1493;0;0;1;1;0;2;1;1;0
1494;1;0;0;0;1;2;0;0;0
1497;1;0;0;0;1;2;0;0;0
1498;1;1;2;2;1;2;2;2;1
1500;0;0;0;1;0;2;0;1;0
1507;1;0;1;1;1;2;1;1;0
1518;0;0;0;1;0;2;0;1;0
1519;2;2;0;0;3;2;0;0;3
1521;0;0;1;1;0;2;1;1;0
1526;0;0;1;1;0;2;1;1;0
1528;1;0;0;0;1;2;0;0;0
1537;2;1;0;0;3;2;0;0;1
1539;0;0;0;1;0;2;0;1;0
1544;1;0;0;0;1;2;0;0;0
1546;0;0;1;1;0;2;1;1;0
1553;0;0;1;1;0;2;1;1;0
1556;0;0;1;1;0;2;1;1;0
1559;1;1;0;0;1;2;0;0;1
1567;1;1;0;0;2;2;0;0;2
1577;1;0;1;1;1;2;1;1;0
1580;1;1;1;2;1;2;1;2;1
1585;1;0;1;1;1;2;1;1;0
1591;0;0;0;1;0;2;0;1;0
1606;0;0;3;3;0;2;1;1;0
1625;0;0;1;1;0;2;1;1;0
1630;0;0;1;1;0;2;1;1;0
1643;0;0;0;1;0;2;0;1;0
1644;0;0;1;1;0;2;1;1;0
1645;1;1;0;0;1;2;0;0;1
1646;1;1;0;0;1;2;0;0;1
1650;0;0;3;3;0;2;2;2;0
1652;1;0;0;0;1;2;0;0;0
1666;0;0;1;1;0;2;1;1;0
1672;0;0;1;1;0;2;1;1;0
1673;0;0;1;1;0;2;1;1;0
1683;0;0;3;3;0;2;1;1;0
1686;1;0;0;0;1;2;0;0;0
1691;1;1;1;1;1;2;1;1;1
1700;2;0;0;0;2;2;0;0;0
1705;0;0;1;1;0;2;1;1;0
1709;0;0;3;3;0;2;3;3;0
1714;1;1;1;1;1;2;1;1;1
1719;0;0;2;2;0;2;1;1;0
1732;1;0;0;0;1;2;0;0;0
1734;0;0;0;1;0;2;0;1;0
1743;1;1;1;1;1;2;1;1;1
1747;0;0;1;1;0;2;1;1;0
1751;0;0;2;2;0;2;2;2;0
1753;1;1;0;0;1;2;0;0;1
1754;0;0;2;2;0;2;1;1;0
1760;0;0;1;1;0;2;1;1;0
1761;1;1;0;0;1;2;0;0;1
1764;1;1;0;0;1;2;0;0;1
1774;0;0;1;1;0;2;1;1;0
1776;0;0;2;2;0;2;2;2;0
1777;2;1;2;2;2;2;2;2;1
1782;0;0;1;1;0;2;1;1;0
1786;0;0;1;1;0;2;1;1;0
1787;0;0;0;1;0;2;0;1;0
1791;1;1;0;0;1;2;0;0;1
1792;0;0;0;1;0;2;0;1;0
1809;0;0;1;1;0;2;1;1;0
1810;1;0;0;0;1;2;0;0;0
1812;0;0;1;1;0;2;1;1;0
1820;0;0;1;1;0;2;1;1;0
1821;1;1;0;0;1;2;0;0;1
1840;0;0;1;1;0;2;1;1;0
1842;1;0;0;0;1;2;0;0;0
1846;0;0;1;1;0;2;1;1;0
1848;1;1;0;0;1;2;0;0;1
1850;1;0;0;0;1;2;0;0;0
1855;0;0;4;5;0;2;1;1;0
1861;0;0;1;2;0;2;1;2;0
1866;1;0;0;0;1;2;0;0;0
1871;1;1;0;0;1;2;0;0;1
1883;1;0;0;0;1;2;0;0;0
1886;0;0;1;2;0;2;1;1;0
1888;1;0;0;0;1;2;0;0;0
1889;1;1;1;1;1;2;1;1;1
1890;1;1;0;0;1;2;0;0;1
1893;1;0;0;0;1;2;0;0;0
1902;1;1;0;0;1;2;0;0;1
1903;0;0;1;1;0;2;1;1;0
1908;1;0;0;0;1;2;0;0;0
1909;1;1;0;0;3;2;0;0;3
1914;1;1;0;0;1;2;0;0;1
1920;1;1;1;1;1;2;1;1;1
1924;1;0;1;1;1;2;1;1;0
1925;0;0;1;1;0;2;1;1;0
1928;0;0;1;1;0;2;1;1;0
1945;1;1;0;0;1;2;0;0;1
1953;1;1;0;0;1;2;0;0;1
1958;1;1;0;0;1;2;0;0;1
1961;0;0;2;3;0;2;1;1;0
1973;1;0;0;0;1;2;0;0;0
1984;1;1;0;0;1;2;0;0;1
1985;1;0;0;0;2;2;0;0;0
1987;1;0;1;1;1;2;1;1;0
1990;0;0;1;1;0;2;1;1;0
1991;1;1;0;0;1;2;0;0;1
1998;1;0;1;1;1;2;1;1;0
2001;0;0;0;1;0;2;0;1;0
2006;1;0;0;0;1;2;0;0;0
2017;1;0;3;6;1;2;2;5;0
2020;1;1;0;0;1;2;0;0;1
2022;1;1;0;0;1;2;0;0;1
2033;1;1;0;0;1;2;0;0;1
2038;1;0;2;2;1;2;2;2;0
2040;0;0;1;1;0;2;1;1;0
2041;0;0;1;1;0;2;1;1;0
2044;0;0;1;1;0;2;1;1;0
2059;1;1;0;0;1;2;0;0;1
2067;1;1;2;2;1;2;1;1;1
2073;0;0;1;1;0;2;1;1;0
2075;0;0;0;2;0;2;0;1;0
2078;0;0;1;1;0;2;1;1;0
2107;1;1;0;0;1;2;0;0;1
2115;0;0;1;2;0;2;1;2;0
2118;0;0;2;2;0;2;1;1;0
2122;2;2;0;0;2;2;0;0;2
2139;1;1;0;0;1;2;0;0;1
2149;0;0;1;1;0;2;1;1;0
2164;1;1;0;0;3;2;0;0;2
2168;0;0;0;1;0;2;0;1;0
2175;1;1;0;0;1;2;0;0;1
2176;1;1;0;0;1;2;0;0;1
2182;1;1;0;0;1;2;0;0;1
2184;1;1;0;0;1;2;0;0;1
2192;0;0;2;2;0;2;1;1;0
2206;0;0;1;1;0;2;1;1;0
2212;0;0;1;1;0;2;1;1;0
2215;1;0;0;0;1;2;0;0;0
2217;0;0;1;1;0;2;1;1;0
2221;2;1;0;1;2;2;0;1;1
2223;0;0;0;1;0;2;0;1;0
2226;1;0;0;0;1;2;0;0;0
2243;0;0;1;1;0;2;1;1;0
2254;0;0;0;1;0;2;0;1;0
2258;0;0;1;1;0;2;1;1;0
2262;1;0;0;0;1;2;0;0;0
2265;0;0;16;16;0;2;1;1;0
2267;1;1;0;0;1;2;0;0;1
2271;0;0;3;3;0;2;2;2;0
2273;0;0;0;2;0;2;0;1;0
2280;0;0;0;1;0;2;0;1;0
2292;0;0;1;1;0;2;1;1;0
2294;0;0;1;1;0;2;1;1;0
2298;0;0;0;1;0;2;0;1;0
2299;0;0;1;1;0;2;1;1;0
2300;0;0;1;1;0;2;1;1;0
2308;1;1;0;0;1;2;0;0;1
2318;0;0;1;1;0;2;1;1;0
2327;0;0;1;1;0;2;1;1;0
2328;1;1;0;0;1;2;0;0;1
2332;0;0;0;1;0;2;0;1;0
2346;0;0;1;1;0;2;1;1;0
2354;0;0;0;1;0;2;0;1;0
2359;1;1;0;0;1;2;0;0;1
2360;0;0;1;1;0;2;1;1;0
2380;0;0;0;1;0;2;0;1;0
2387;0;0;1;1;0;2;1;1;0
2398;0;0;1;1;0;2;1;1;0
2399;1;1;0;0;2;2;0;0;1
2410;1;1;0;0;1;2;0;0;1
2411;1;0;0;0;1;2;0;0;0
2415;1;1;0;0;1;2;0;0;1
2416;0;0;0;2;0;2;0;1;0
2417;1;1;0;0;2;2;0;0;2
2429;0;0;1;1;0;2;1;1;0
2431;0;0;0;1;0;2;0;1;0
2434;2;2;1;1;2;2;1;1;2
2437;1;1;0;0;1;2;0;0;1
2438;1;1;0;0;1;2;0;0;1
2443;0;0;1;1;0;2;1;1;0
2444;0;0;1;1;0;2;1;1;0
2446;0;0;0;1;0;2;0;1;0
2455;0;0;1;1;0;2;1;1;0
2464;0;0;1;1;0;2;1;1;0
2480;0;0;0;1;0;2;0;1;0
2494;0;0;1;1;0;2;1;1;0
2504;0;0;1;1;0;2;1;1;0
2515;1;1;1;1;1;2;1;1;1
2527;1;1;0;0;1;2;0;0;1
2530;1;0;0;0;1;2;0;0;0
2533;1;0;0;0;1;2;0;0;0
2537;0;0;0;1;0;2;0;1;0
2543;1;0;0;0;1;2;0;0;0
2544;0;0;1;1;0;2;1;1;0
2546;1;0;0;0;1;2;0;0;0
2548;0;0;0;1;0;2;0;1;0
2553;0;0;1;1;0;2;1;1;0
2568;1;0;0;0;1;2;0;0;0
2573;1;1;0;0;1;2;0;0;1
2579;1;0;0;0;1;2;0;0;0
2584;0;0;1;1;0;2;1;1;0
2590;0;0;1;1;0;2;1;1;0
2595;1;0;0;2;1;2;0;1;0
2606;0;0;1;1;0;2;1;1;0
2609;1;1;0;0;1;2;0;0;1
2611;0;0;1;1;0;2;1;1;0
2615;1;0;0;0;1;2;0;0;0
2617;0;0;0;1;0;2;0;1;0
2621;1;1;0;0;1;2;0;0;1
2630;0;0;1;1;0;2;1;1;0
2634;0;0;1;1;0;2;1;1;0
2637;0;0;1;1;0;2;1;1;0
2638;0;0;1;1;0;2;1;1;0
2654;2;2;0;0;2;2;0;0;2
2667;0;0;1;1;0;2;1;1;0
2670;0;0;2;2;0;2;2;2;0
2678;1;0;0;0;1;2;0;0;0
2680;0;0;2;2;0;2;2;2;0
2686;0;0;0;1;0;2;0;1;0
2690;0;0;3;3;0;2;2;2;0
2692;0;0;0;1;0;2;0;1;0
2719;1;1;3;3;1;2;1;1;1
2731;1;1;0;0;1;2;0;0;1
2736;1;1;0;0;1;2;0;0;1
2742;0;0;1;1;0;2;1;1;0
2745;0;0;0;1;0;2;0;1;0
2748;1;0;0;0;1;2;0;0;0
2750;0;0;0;1;0;2;0;1;0
2769;0;0;0;1;0;2;0;1;0
2771;1;0;0;0;1;2;0;0;0
2773;1;1;0;0;1;2;0;0;1
2784;2;2;0;0;2;2;0;0;2
2789;0;0;0;1;0;2;0;1;0
2802;1;1;0;0;1;2;0;0;1
2805;0;0;1;2;0;2;1;1;0
2818;0;0;1;1;0;2;1;1;0
2819;1;1;1;1;1;2;1;1;1
2823;0;0;1;1;0;2;1;1;0
2825;0;0;0;1;0;2;0;1;0
2826;1;1;0;0;1;2;0;0;1
2832;1;1;12;12;1;2;1;1;1
2833;0;0;1;1;0;2;1;1;0
2846;0;0;1;1;0;2;1;1;0
2856;0;0;1;1;0;2;1;1;0
2861;1;0;0;0;1;2;0;0;0
2865;1;0;0;0;1;2;0;0;0
2887;0;0;2;2;0;2;1;1;0
2909;1;1;0;0;1;2;0;0;1
2912;1;0;0;0;1;2;0;0;0
2916;0;0;1;1;0;2;1;1;0
2920;1;1;0;0;1;2;0;0;1
2922;0;0;0;1;0;2;0;1;0
2946;1;0;0;0;1;2;0;0;0
2949;0;0;1;1;0;2;1;1;0
2956;0;0;1;1;0;2;1;1;0
2957;0;0;0;1;0;2;0;1;0
2961;0;0;1;1;0;2;1;1;0
2964;1;1;1;1;1;2;1;1;1
2975;1;0;0;0;1;2;0;0;0
2978;1;1;0;0;2;2;0;0;1
2981;0;0;1;1;0;2;1;1;0
2985;1;1;0;0;1;2;0;0;1
2992;0;0;0;1;0;2;0;1;0
3000;0;0;1;1;0;2;1;1;0
3002;0;0;3;3;0;2;1;1;0
3011;1;1;4;4;1;2;3;3;1
3014;0;0;1;1;0;2;1;1;0
3022;1;0;0;0;1;2;0;0;0
3034;1;1;0;0;1;2;0;0;1
3043;1;1;0;0;2;2;0;0;1
3045;0;0;1;1;0;2;1;1;0
3050;1;0;1;1;1;2;1;1;0
3065;1;1;0;0;1;2;0;0;1
3072;1;1;0;0;1;2;0;0;1
3078;0;0;0;1;0;2;0;1;0
3087;1;1;2;2;1;2;1;1;1
3089;1;1;0;0;1;2;0;0;1
3126;1;1;0;0;1;2;0;0;1
3129;1;1;1;1;1;2;1;1;1
3135;0;0;3;3;0;2;1;1;0
3162;1;0;0;0;1;2;0;0;0
3165;1;1;0;0;1;2;0;0;1
3170;0;0;0;1;0;2;0;1;0
3180;1;0;0;0;1;2;0;0;0
3182;0;0;1;1;0;2;1;1;0
3190;0;0;1;1;0;2;1;1;0
3197;0;0;1;1;0;2;1;1;0
3204;0;0;1;1;0;2;1;1;0
3205;1;1;0;0;1;2;0;0;1
