index;nartist_with_flow;nartist_with_flow_listened;nmidia_regular_listened;nmidia_regular;nmidia_with_flow;nartist_regular_listened;nartist_regular;nmidia_with_flow_listened;nmidia_with_flow_listened_PROP;nmidia_regular_listened_PROP;nmidia_PROP_diff;nartist_with_flow_listened_PROP;nartist_regular_listened_PROP;nartist_PROP_diff
519;0;0;1;1;0;1;1;0;;1.0;;;1.0;
520;0;0;1;1;0;1;1;0;;1.0;;;1.0;
525;1;1;0;0;1;0;0;1;1.0;;;1.0;;
532;1;1;0;0;1;0;0;1;1.0;;;1.0;;
537;0;0;2;2;0;1;1;0;;1.0;;;1.0;
538;0;0;17;18;0;11;11;0;;0.944444444444;;;1.0;
541;0;0;0;1;0;0;1;0;;0.0;;;0.0;
551;1;1;0;0;1;0;0;1;1.0;;;1.0;;
553;0;0;1;1;0;1;1;0;;1.0;;;1.0;
561;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
562;0;0;0;2;0;0;1;0;;0.0;;;0.0;
564;1;1;0;0;2;0;0;1;0.5;;;1.0;;
565;1;1;0;0;3;0;0;3;1.0;;;1.0;;
567;1;1;0;0;1;0;0;1;1.0;;;1.0;;
568;0;0;1;1;0;1;1;0;;1.0;;;1.0;
571;1;1;0;0;1;0;0;1;1.0;;;1.0;;
573;1;0;3;3;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
584;1;1;4;4;1;3;3;1;1.0;1.0;1.0;1.0;1.0;1.0
593;0;0;1;1;0;1;1;0;;1.0;;;1.0;
599;2;0;0;0;2;0;0;0;0.0;;;0.0;;
601;1;1;0;0;1;0;0;1;1.0;;;1.0;;
604;1;0;0;0;1;0;0;0;0.0;;;0.0;;
608;1;1;0;0;1;0;0;1;1.0;;;1.0;;
611;0;0;1;1;0;1;1;0;;1.0;;;1.0;
612;2;2;2;2;3;1;1;3;1.0;1.0;1.0;1.0;1.0;1.0
614;1;1;0;0;1;0;0;1;1.0;;;1.0;;
619;0;0;1;1;0;1;1;0;;1.0;;;1.0;
620;1;0;0;0;1;0;0;0;0.0;;;0.0;;
621;0;0;1;1;0;1;1;0;;1.0;;;1.0;
625;1;0;0;0;1;0;0;0;0.0;;;0.0;;
630;1;1;0;0;1;0;0;1;1.0;;;1.0;;
637;1;1;0;0;1;0;0;1;1.0;;;1.0;;
638;0;0;1;1;0;1;1;0;;1.0;;;1.0;
639;0;0;1;1;0;1;1;0;;1.0;;;1.0;
640;1;0;0;0;1;0;0;0;0.0;;;0.0;;
647;1;1;0;0;2;0;0;2;1.0;;;1.0;;
650;1;0;0;1;4;0;1;0;0.0;0.0;;0.0;0.0;
651;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
652;1;1;2;2;1;2;2;1;1.0;1.0;1.0;1.0;1.0;1.0
653;1;0;0;0;1;0;0;0;0.0;;;0.0;;
655;1;0;0;0;1;0;0;0;0.0;;;0.0;;
661;0;0;2;2;0;1;1;0;;1.0;;;1.0;
663;1;0;0;0;1;0;0;0;0.0;;;0.0;;
669;3;0;0;0;3;0;0;0;0.0;;;0.0;;
670;0;0;1;1;0;1;1;0;;1.0;;;1.0;
672;2;1;6;8;3;2;2;2;0.666666666667;0.75;0.888888888889;0.5;1.0;0.5
673;1;1;0;0;2;0;0;1;0.5;;;1.0;;
678;0;0;1;1;0;1;1;0;;1.0;;;1.0;
679;0;0;0;1;0;0;1;0;;0.0;;;0.0;
681;0;0;0;2;0;0;2;0;;0.0;;;0.0;
684;0;0;1;1;0;1;1;0;;1.0;;;1.0;
686;0;0;1;1;0;1;1;0;;1.0;;;1.0;
687;1;1;0;0;1;0;0;1;1.0;;;1.0;;
690;1;1;0;0;1;0;0;1;1.0;;;1.0;;
696;1;0;0;0;1;0;0;0;0.0;;;0.0;;
697;0;0;1;1;0;1;1;0;;1.0;;;1.0;
698;1;1;0;0;1;0;0;1;1.0;;;1.0;;
702;1;0;0;0;1;0;0;0;0.0;;;0.0;;
703;0;0;0;1;0;0;1;0;;0.0;;;0.0;
708;1;0;0;0;1;0;0;0;0.0;;;0.0;;
712;1;1;0;1;1;0;1;1;1.0;0.0;inf;1.0;0.0;inf
713;0;0;2;2;0;1;1;0;;1.0;;;1.0;
716;1;0;0;0;1;0;0;0;0.0;;;0.0;;
720;1;1;0;0;1;0;0;1;1.0;;;1.0;;
727;1;0;0;0;1;0;0;0;0.0;;;0.0;;
729;1;0;0;0;1;0;0;0;0.0;;;0.0;;
737;1;0;0;0;1;0;0;0;0.0;;;0.0;;
739;0;0;1;1;0;1;1;0;;1.0;;;1.0;
742;0;0;1;2;0;1;2;0;;0.5;;;0.5;
744;1;0;0;0;2;0;0;0;0.0;;;0.0;;
745;1;1;0;0;1;0;0;1;1.0;;;1.0;;
752;1;1;0;0;1;0;0;1;1.0;;;1.0;;
754;2;2;0;0;2;0;0;2;1.0;;;1.0;;
757;1;1;0;1;2;0;1;1;0.5;0.0;inf;1.0;0.0;inf
758;0;0;0;1;0;0;1;0;;0.0;;;0.0;
765;0;0;0;3;0;0;2;0;;0.0;;;0.0;
768;1;0;0;0;1;0;0;0;0.0;;;0.0;;
770;1;1;0;0;2;0;0;1;0.5;;;1.0;;
772;2;1;0;1;2;0;1;1;0.5;0.0;inf;0.5;0.0;inf
779;0;0;1;1;0;1;1;0;;1.0;;;1.0;
782;2;1;0;0;2;0;0;1;0.5;;;0.5;;
792;1;1;0;0;1;0;0;1;1.0;;;1.0;;
797;0;0;1;1;0;1;1;0;;1.0;;;1.0;
808;0;0;1;1;0;1;1;0;;1.0;;;1.0;
818;1;1;0;0;1;0;0;1;1.0;;;1.0;;
821;0;0;1;1;0;1;1;0;;1.0;;;1.0;
822;1;1;0;0;1;0;0;1;1.0;;;1.0;;
825;0;0;1;1;0;1;1;0;;1.0;;;1.0;
826;1;1;0;0;2;0;0;2;1.0;;;1.0;;
828;0;0;1;1;0;1;1;0;;1.0;;;1.0;
829;0;0;1;1;0;1;1;0;;1.0;;;1.0;
834;0;0;2;2;0;1;1;0;;1.0;;;1.0;
836;0;0;0;1;0;0;1;0;;0.0;;;0.0;
838;1;1;2;2;2;1;1;1;0.5;1.0;0.5;1.0;1.0;1.0
839;0;0;0;1;0;0;1;0;;0.0;;;0.0;
841;2;2;1;2;2;1;1;2;1.0;0.5;2.0;1.0;1.0;1.0
842;2;2;0;0;2;0;0;2;1.0;;;1.0;;
846;1;1;0;0;1;0;0;1;1.0;;;1.0;;
852;1;1;0;0;1;0;0;1;1.0;;;1.0;;
861;0;0;1;1;0;1;1;0;;1.0;;;1.0;
862;1;1;3;3;2;1;1;1;0.5;1.0;0.5;1.0;1.0;1.0
863;0;0;1;1;0;1;1;0;;1.0;;;1.0;
864;1;0;0;0;1;0;0;0;0.0;;;0.0;;
868;1;0;2;2;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
869;1;1;0;0;2;0;0;2;1.0;;;1.0;;
871;0;0;0;1;0;0;1;0;;0.0;;;0.0;
879;0;0;3;3;0;1;1;0;;1.0;;;1.0;
889;1;1;2;2;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
893;0;0;0;1;0;0;1;0;;0.0;;;0.0;
895;1;1;0;0;1;0;0;1;1.0;;;1.0;;
898;1;1;1;1;2;1;1;1;0.5;1.0;0.5;1.0;1.0;1.0
925;0;0;0;3;0;0;2;0;;0.0;;;0.0;
926;0;0;1;1;0;1;1;0;;1.0;;;1.0;
931;0;0;1;1;0;1;1;0;;1.0;;;1.0;
935;1;1;0;0;1;0;0;1;1.0;;;1.0;;
938;0;0;1;1;0;1;1;0;;1.0;;;1.0;
941;2;2;0;0;2;0;0;2;1.0;;;1.0;;
943;0;0;0;1;0;0;1;0;;0.0;;;0.0;
947;0;0;1;1;0;1;1;0;;1.0;;;1.0;
950;2;0;0;0;2;0;0;0;0.0;;;0.0;;
954;2;2;1;1;2;1;1;2;1.0;1.0;1.0;1.0;1.0;1.0
956;1;1;0;0;1;0;0;1;1.0;;;1.0;;
959;0;0;1;1;0;1;1;0;;1.0;;;1.0;
968;1;0;0;0;1;0;0;0;0.0;;;0.0;;
972;0;0;0;1;0;0;1;0;;0.0;;;0.0;
979;0;0;2;2;0;1;1;0;;1.0;;;1.0;
982;1;0;0;0;1;0;0;0;0.0;;;0.0;;
984;0;0;0;1;0;0;1;0;;0.0;;;0.0;
987;0;0;1;1;0;1;1;0;;1.0;;;1.0;
993;0;0;1;1;0;1;1;0;;1.0;;;1.0;
999;0;0;2;2;0;1;1;0;;1.0;;;1.0;
1001;0;0;3;3;0;1;1;0;;1.0;;;1.0;
1006;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1023;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1025;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1031;0;0;4;4;0;1;1;0;;1.0;;;1.0;
1040;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1042;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1043;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1045;1;0;0;0;2;0;0;0;0.0;;;0.0;;
1046;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1049;0;0;1;2;0;1;1;0;;0.5;;;1.0;
1051;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1052;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1056;0;0;2;2;0;1;1;0;;1.0;;;1.0;
1059;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1060;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1061;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1065;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1080;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1089;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1093;0;0;2;2;0;1;1;0;;1.0;;;1.0;
1095;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
1098;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1100;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1109;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1110;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1118;0;0;2;2;0;1;1;0;;1.0;;;1.0;
1119;0;0;2;2;0;2;2;0;;1.0;;;1.0;
1122;0;0;1;3;0;1;1;0;;0.333333333333;;;1.0;
1126;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1127;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1131;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1133;1;1;0;0;2;0;0;1;0.5;;;1.0;;
1134;0;0;3;3;0;1;1;0;;1.0;;;1.0;
1138;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1147;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1150;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
1155;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1158;1;1;0;0;2;0;0;1;0.5;;;1.0;;
1161;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1162;1;0;1;3;1;1;2;0;0.0;0.333333333333;0.0;0.0;0.5;0.0
1166;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1171;0;0;2;2;0;2;2;0;;1.0;;;1.0;
1178;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1182;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1183;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1198;0;0;1;2;0;1;1;0;;0.5;;;1.0;
1200;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1213;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1215;2;2;4;4;2;2;2;2;1.0;1.0;1.0;1.0;1.0;1.0
1217;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1219;0;0;3;3;0;1;1;0;;1.0;;;1.0;
1235;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1236;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1238;0;0;1;2;0;1;2;0;;0.5;;;0.5;
1241;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1263;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1273;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1277;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1284;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1295;0;0;1;2;0;1;2;0;;0.5;;;0.5;
1298;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1302;2;0;0;0;2;0;0;0;0.0;;;0.0;;
1306;1;1;0;0;2;0;0;2;1.0;;;1.0;;
1308;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1309;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1319;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1325;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1331;2;0;0;0;2;0;0;0;0.0;;;0.0;;
1335;1;0;0;2;2;0;2;0;0.0;0.0;;0.0;0.0;
1344;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1373;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1374;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1382;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1394;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1408;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1411;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1413;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1415;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1422;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1435;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1438;0;0;2;2;0;2;2;0;;1.0;;;1.0;
1439;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1442;2;2;0;0;2;0;0;2;1.0;;;1.0;;
1448;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
1450;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1451;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1454;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1464;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1469;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1478;1;1;0;1;1;0;1;1;1.0;0.0;inf;1.0;0.0;inf
1482;1;0;2;2;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
1487;2;0;0;0;2;0;0;0;0.0;;;0.0;;
1488;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1493;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1494;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1497;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1498;1;1;2;2;1;2;2;1;1.0;1.0;1.0;1.0;1.0;1.0
1500;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1507;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
1518;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1519;2;2;0;0;3;0;0;3;1.0;;;1.0;;
1521;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1526;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1528;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1537;2;1;0;0;3;0;0;1;0.333333333333;;;0.5;;
1539;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1544;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1546;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1553;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1556;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1559;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1567;1;1;0;0;2;0;0;2;1.0;;;1.0;;
1577;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
1580;1;1;1;2;1;1;2;1;1.0;0.5;2.0;1.0;0.5;2.0
1585;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
1591;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1606;0;0;3;3;0;1;1;0;;1.0;;;1.0;
1625;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1630;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1643;0;0;0;1;0;0;1;0;;0.0;;;0.0;
1644;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1645;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1646;1;1;0;0;1;0;0;1;1.0;;;1.0;;
1650;0;0;3;3;0;2;2;0;;1.0;;;1.0;
1652;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1666;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1672;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1673;0;0;1;1;0;1;1;0;;1.0;;;1.0;
1683;0;0;3;3;0;1;1;0;;1.0;;;1.0;
1686;1;0;0;0;1;0;0;0;0.0;;;0.0;;
1691;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
