user_id;with_flow;regular;with_flow_listened;regular_listened
128;880;444;872;436
129;665;248;328;148
130;691;793;136;171
131;74;863;49;690
132;510;1041;447;1008
133;880;496;347;234
134;207;666;202;654
135;4;269;1;255
136;551;795;452;713
137;592;352;230;217
138;660;1108;534;979
139;752;512;447;404
140;727;767;500;528
141;1032;154;456;91
142;134;1460;22;396
143;961;273;831;235
144;609;461;533;405
145;171;895;31;311
146;712;400;435;295
147;915;547;486;324
148;765;420;344;200
149;507;545;284;246
150;708;799;177;169
151;11;709;9;592
152;318;902;96;397
153;359;1643;352;1616
154;108;584;106;518
155;643;170;618;126
156;514;971;482;930
157;829;311;347;107
158;712;365;606;346
159;680;504;563;377
160;264;431;182;382
161;632;683;594;663
162;892;339;846;332
163;708;1051;123;85
164;336;1129;331;1090
165;271;870;214;643
166;623;232;566;216
167;295;939;77;306
168;426;825;401;760
169;617;555;458;213
170;424;529;166;239
171;461;578;460;560
172;236;612;161;587
173;454;586;400;409
174;725;441;717;427
175;480;420;307;283
176;87;987;75;861
177;158;525;75;423
178;764;382;585;258
179;322;1751;266;1137
180;198;714;153;615
181;719;727;379;413
182;65;1023;45;923
183;111;417;11;227
184;461;1379;427;1305
185;869;53;117;47
186;565;436;317;274
187;774;455;129;268
188;393;677;366;633
189;637;1001;617;983
190;973;383;427;259
191;653;190;220;149
192;583;302;225;201
193;654;475;310;391
194;696;424;484;251
195;641;350;446;267
196;147;1030;106;518
197;270;87;261;53
198;17;1273;3;303
199;393;675;118;246
200;738;488;168;92
201;563;555;550;547
202;482;722;420;584
203;771;812;732;784
204;707;486;387;446
205;223;1098;213;1041
206;519;486;375;393
207;83;1365;82;1337
208;798;698;725;638
209;449;577;427;428
210;577;212;133;112
211;740;738;549;622
212;272;1317;65;401
213;526;520;504;430
214;97;517;88;462
215;823;146;805;128
216;582;863;236;549
217;855;162;150;86
218;815;203;808;197
219;234;404;166;393
220;112;580;90;459
221;665;459;300;315
222;637;751;322;434
223;68;1137;55;850
224;586;823;581;692
225;495;723;466;629
226;177;557;36;444
227;324;683;272;591
228;690;537;281;287
229;858;302;337;281
230;418;944;387;854
231;248;633;161;468
232;316;851;190;711
233;606;183;534;173
234;113;621;79;599
235;388;536;216;348
236;632;364;443;304
237;275;373;57;280
238;699;686;305;330
239;873;828;827;806
240;442;795;350;460
241;658;188;639;173
242;447;1109;436;1025
243;263;1499;249;1430
244;387;139;316;131
245;734;158;248;87
246;717;105;344;83
247;726;403;510;284
248;507;672;314;519
249;421;373;164;306
250;412;642;142;187
251;356;296;108;189
252;698;322;344;159
253;911;190;308;93
254;420;150;342;141
255;805;280;802;280
256;422;794;309;496
257;168;1451;157;1434
258;230;694;165;613
259;675;283;237;165
260;693;338;460;268
261;358;868;356;860
262;863;237;223;122
263;396;352;188;300
264;397;779;164;367
265;54;1103;54;1078
266;215;725;136;494
267;364;460;303;405
268;641;151;336;121
269;695;268;333;174
270;564;878;226;264
271;527;510;198;243
272;55;445;33;296
273;538;482;524;414
274;847;17;226;3
275;767;130;637;125
276;391;163;370;153
277;385;323;329;293
278;59;719;32;451
279;43;1093;40;986
280;227;393;60;328
281;762;352;353;187
282;116;858;38;613
283;604;816;381;770
284;960;0;959;0
285;434;623;240;436
286;23;408;10;272
287;640;384;637;384
288;665;275;451;249
289;239;145;136;129
290;7;484;2;284
291;192;385;151;363
292;389;599;387;597
293;743;436;241;160
294;485;442;191;376
295;363;576;185;446
296;503;478;296;296
297;24;871;21;831
298;177;1148;142;892
299;818;95;565;56
300;812;205;619;177
301;498;562;98;144
302;6;693;3;560
303;785;104;333;52
304;701;257;172;64
305;2;400;0;339
306;729;609;376;299
307;52;465;36;392
308;51;1494;42;1191
309;378;238;115;117
310;236;650;231;631
311;293;594;71;237
312;291;691;77;556
313;323;1080;299;970
314;434;368;226;262
315;435;708;113;308
316;425;511;393;472
317;484;587;384;361
318;316;927;271;758
319;683;637;682;569
320;149;936;50;611
321;686;104;330;77
322;27;1270;11;501
323;459;524;254;298
324;246;859;235;815
325;35;1086;25;795
326;168;507;168;503
327;739;495;364;428
328;753;195;282;129
329;169;882;55;708
330;634;246;523;239
331;505;364;404;320
332;659;658;651;636
333;346;566;285;520
334;91;441;25;326
335;137;189;136;184
336;21;554;21;547
337;546;215;517;198
338;319;258;196;203
339;51;527;30;435
340;466;630;285;512
341;163;1316;161;1305
342;747;277;557;208
343;470;893;190;605
344;409;708;239;467
345;262;766;181;656
346;487;662;438;548
347;318;517;300;394
348;169;516;147;472
349;448;391;160;206
350;196;441;157;364
351;58;1149;58;1124
352;419;438;229;306
353;766;252;579;242
354;579;457;255;303
355;87;324;43;206
356;358;540;323;473
357;770;299;179;85
358;483;911;469;814
359;396;587;136;180
360;287;141;284;139
361;833;221;394;69
362;556;394;140;231
363;51;857;30;608
364;676;373;322;223
365;537;753;511;688
366;161;336;142;302
367;469;784;414;716
368;9;592;9;529
369;188;758;62;633
370;14;145;13;130
371;73;389;18;241
372;332;885;330;880
373;382;553;360;534
374;502;208;208;174
375;400;420;208;230
376;151;404;96;378
377;30;406;6;346
378;779;922;775;915
379;518;212;351;155
380;551;702;108;183
381;219;278;103;191
382;406;511;325;438
383;782;285;423;207
384;204;444;191;419
385;649;541;626;521
386;267;524;257;518
387;654;484;128;203
388;158;870;140;827
389;83;276;23;149
390;309;258;159;235
391;639;358;638;346
392;149;338;64;187
393;800;411;195;163
394;625;581;305;505
395;345;851;335;835
396;480;546;321;419
397;727;259;544;199
398;113;341;81;287
399;77;125;18;109
400;351;1039;197;749
401;444;777;167;136
402;239;744;221;594
403;79;931;74;888
404;315;140;315;140
405;323;1154;307;850
406;178;970;144;871
407;652;202;626;201
408;479;354;222;182
409;87;785;78;702
410;37;773;30;478
411;202;794;59;262
412;859;634;88;88
413;136;625;131;583
414;631;384;231;133
415;376;370;114;247
416;327;535;62;140
417;313;267;24;220
418;383;580;131;451
419;299;698;132;516
420;564;205;204;63
421;580;565;241;450
422;620;466;177;176
423;509;1034;481;996
424;517;636;510;615
425;443;486;261;301
426;426;405;277;369
427;277;529;68;386
428;610;108;337;84
429;337;491;154;315
430;458;603;225;387
431;132;441;104;370
432;623;76;91;37
433;366;574;365;571
434;14;443;12;431
435;394;405;239;265
436;682;610;575;512
437;877;57;79;28
438;4;186;3;172
439;260;1017;252;896
440;2;788;0;341
441;18;660;15;637
442;19;401;7;326
443;28;272;20;208
444;410;630;408;626
445;513;279;513;277
446;470;344;147;235
447;371;842;369;830
448;449;279;209;171
449;549;147;122;72
450;495;442;69;207
451;523;261;225;138
452;282;504;40;197
453;135;172;38;135
454;617;307;306;161
455;189;423;170;389
456;5;848;5;833
457;548;699;200;344
458;2;1094;2;1082
459;194;382;99;284
460;773;91;235;27
461;560;726;182;368
462;133;1020;34;467
463;492;276;401;215
464;71;530;6;99
465;213;460;23;208
466;392;523;254;491
467;220;469;213;467
468;281;551;277;549
469;793;236;382;198
470;91;560;52;380
471;610;668;423;384
472;603;542;380;278
473;170;768;83;478
474;696;256;688;241
475;487;661;474;621
476;694;53;559;39
477;221;562;200;454
478;291;992;255;900
479;363;346;300;290
480;520;210;102;98
481;75;300;39;222
482;555;623;97;110
483;57;520;47;451
484;601;324;435;198
485;18;435;16;348
486;473;335;166;149
487;443;660;421;645
488;576;396;237;285
489;481;680;90;314
490;565;227;446;186
491;167;449;162;443
492;10;527;6;339
493;733;305;516;239
494;589;196;469;92
495;563;355;547;331
496;220;590;203;588
497;485;557;425;462
498;473;791;402;704
499;137;514;87;449
500;492;661;452;611
501;761;76;326;40
502;392;422;324;383
503;71;377;51;308
504;337;1030;317;993
505;473;394;135;266
506;505;911;454;869
507;554;212;477;157
508;452;445;338;404
509;784;292;391;265
510;456;216;373;200
511;12;216;11;172
512;653;49;633;49
513;726;95;158;38
514;266;682;225;568
515;416;469;377;419
516;206;648;205;628
517;246;942;206;727
518;612;272;362;198
519;104;243;104;234
520;23;331;20;292
521;760;156;622;150
522;4;351;3;327
523;32;292;18;148
524;692;61;431;29
525;484;451;158;260
526;161;494;26;428
527;507;606;494;557
528;438;440;119;305
529;154;479;62;255
530;55;1092;46;989
531;471;636;467;622
532;562;477;526;441
533;647;403;576;358
534;0;193;0;130
535;59;513;7;227
536;193;521;185;509
537;27;718;8;543
538;376;456;364;445
539;91;874;60;575
540;321;993;258;943
541;557;529;138;132
542;289;318;271;297
543;173;540;96;460
544;680;50;507;37
545;209;1121;141;847
546;271;75;174;67
547;592;193;578;190
548;506;611;506;610
549;599;359;591;343
550;704;342;466;229
551;409;966;403;849
552;419;153;259;125
553;8;384;0;204
554;484;531;229;340
555;596;374;544;319
556;168;76;127;67
557;222;630;185;526
558;10;464;8;431
559;356;737;356;730
560;704;299;561;74
561;398;758;376;743
562;313;379;77;154
563;279;888;126;779
564;505;375;284;291
565;674;328;267;200
566;615;147;212;84
567;653;94;263;65
568;252;266;184;245
569;46;334;35;263
570;409;817;389;751
571;391;783;229;380
572;62;221;62;214
573;729;191;267;84
574;30;481;0;183
575;375;237;192;204
576;48;425;44;339
577;314;385;310;344
578;315;652;164;569
579;536;122;232;118
580;765;67;354;39
581;228;653;218;594
582;122;616;55;350
583;414;136;370;132
584;182;811;87;778
585;382;312;332;284
586;5;984;0;955
587;677;138;395;98
588;267;675;36;427
589;461;357;87;107
590;0;429;0;382
591;678;160;562;126
592;201;781;196;729
593;518;657;167;343
594;352;748;336;724
595;157;738;150;645
596;496;445;441;384
597;503;646;481;620
598;366;684;250;352
599;832;54;180;27
600;2;614;2;614
601;284;327;76;151
602;23;372;16;152
603;74;311;31;280
604;668;202;397;107
605;609;207;205;95
606;493;764;448;709
607;60;307;29;279
608;638;174;636;167
609;110;672;34;444
610;433;456;286;337
611;128;826;78;656
612;698;453;573;376
613;135;287;131;277
614;625;326;569;282
615;235;846;156;612
616;302;623;117;388
617;176;564;112;447
618;518;447;468;421
619;361;649;352;638
620;1004;67;604;46
621;400;354;215;297
622;216;555;165;461
623;498;210;418;185
624;395;232;234;136
625;740;220;284;152
626;391;330;246;279
627;15;571;11;373
628;70;146;7;103
629;52;394;45;351
630;703;89;699;83
631;612;144;443;99
632;526;436;435;394
633;28;459;18;274
634;191;524;53;302
635;375;543;249;420
636;451;479;195;318
637;405;659;393;636
638;402;651;371;622
639;127;320;110;295
640;762;113;263;70
641;417;205;207;140
642;346;649;161;470
643;456;529;248;246
644;195;127;37;75
645;328;431;316;418
646;360;262;200;211
647;543;377;440;332
648;269;872;260;837
649;371;270;221;249
650;498;522;87;112
651;701;196;109;88
652;540;334;525;320
653;498;248;230;187
654;294;289;145;224
655;506;408;138;84
656;407;93;400;88
657;68;692;67;671
658;519;443;353;276
659;210;655;178;598
660;233;606;180;494
661;0;819;0;810
662;52;164;40;145
663;574;482;44;198
664;351;648;91;374
665;549;199;411;166
666;101;703;80;442
667;668;101;231;66
668;288;341;145;283
669;648;533;177;166
670;608;170;220;136
671;339;467;273;405
672;519;401;347;314
673;567;47;187;35
674;342;717;232;668
675;2;461;1;305
676;1;569;1;462
677;430;669;428;663
678;238;691;217;497
679;307;605;213;394
680;320;537;161;418
681;353;475;30;171
682;807;202;413;197
683;334;593;283;534
684;218;350;141;300
685;85;533;80;463
686;314;516;76;206
687;507;258;450;251
688;6;202;6;180
689;504;325;446;271
690;874;289;207;81
691;663;152;104;43
692;73;167;19;127
693;305;438;206;320
694;74;388;46;286
695;236;432;232;428
696;271;489;99;272
697;416;577;373;524
698;416;123;409;123
699;90;347;36;326
700;123;532;122;518
701;406;319;318;259
702;272;942;71;464
703;28;741;5;244
704;5;106;3;96
705;161;411;34;237
706;159;552;90;466
707;416;232;328;197
708;696;14;430;12
709;156;541;87;405
710;500;250;337;195
711;517;156;221;121
712;557;271;531;221
713;254;507;241;464
714;1;341;1;202
715;464;171;231;130
716;563;107;222;57
717;81;337;75;306
718;110;220;73;207
719;218;395;93;282
720;674;100;403;85
721;550;286;521;261
722;627;204;110;37
723;102;405;44;328
724;160;596;143;548
725;596;185;297;63
726;333;552;304;525
727;434;512;258;352
728;378;490;364;469
729;441;253;350;239
730;19;98;13;75
731;154;249;70;196
732;473;390;454;383
733;282;716;113;452
734;80;596;78;570
735;50;475;35;380
736;569;126;569;124
737;573;342;64;209
738;121;649;113;627
739;79;1051;55;939
740;314;590;304;548
741;29;597;27;582
742;399;839;111;264
743;19;628;15;351
744;420;277;88;154
745;492;577;438;530
746;659;222;647;208
747;499;251;185;118
748;530;444;509;427
749;132;899;103;884
750;11;316;8;184
751;273;317;71;194
752;521;377;271;206
753;641;204;357;121
754;391;273;358;242
755;551;27;452;24
756;390;528;388;471
757;203;317;30;76
758;453;413;406;326
759;15;185;5;161
760;316;324;176;273
761;142;437;109;309
762;451;579;239;389
763;539;117;392;84
764;76;664;69;618
765;283;977;6;47
766;206;470;205;450
767;610;43;367;22
768;177;458;121;422
769;368;282;351;278
770;675;43;160;37
771;230;427;195;349
772;487;455;263;337
773;282;220;174;196
774;537;212;347;153
775;567;114;468;104
776;297;209;267;182
777;13;943;12;906
778;320;302;153;242
779;183;445;8;193
780;366;693;365;690
781;266;585;248;547
782;510;279;264;174
783;312;544;309;538
784;72;188;36;104
785;434;557;168;289
786;420;229;63;120
787;170;408;142;311
788;179;569;74;316
789;299;777;268;751
790;325;372;289;351
791;351;539;250;518
792;673;151;530;127
793;322;367;212;293
794;50;762;41;745
795;55;591;27;428
796;492;197;310;140
797;714;244;443;170
798;342;424;250;321
799;282;201;94;147
800;541;268;128;68
801;560;235;498;155
802;419;258;212;177
803;359;600;146;306
804;336;204;155;125
805;417;580;401;551
806;41;381;22;249
807;4;187;2;171
808;131;489;124;454
809;596;279;396;218
810;287;564;282;549
811;573;313;561;304
812;484;386;197;249
813;370;80;370;75
814;359;469;357;457
815;68;277;39;212
816;71;601;4;194
817;179;379;119;326
818;542;296;454;265
819;615;132;611;127
820;191;534;113;397
821;7;621;2;375
822;241;902;193;655
823;337;533;264;500
824;161;248;94;171
825;467;605;432;570
826;124;809;111;703
827;172;339;112;172
828;512;589;415;539
829;678;277;308;154
830;5;299;0;261
831;613;379;519;241
832;412;334;261;239
833;122;654;111;637
834;514;406;466;360
835;565;142;516;131
836;666;234;274;175
837;123;222;118;210
838;429;314;334;268
839;401;709;117;321
840;678;174;584;157
841;485;267;147;217
842;675;41;284;33
843;520;387;453;331
844;100;776;71;703
845;160;248;94;197
846;438;611;433;601
847;190;570;161;463
848;39;391;6;103
849;92;747;7;399
850;219;152;206;146
851;488;353;216;229
852;355;323;174;219
853;258;282;241;260
854;732;31;191;16
855;51;331;14;84
856;31;318;28;223
857;6;496;5;437
858;478;52;221;29
859;0;490;0;380
860;377;502;374;499
861;9;506;5;273
862;460;397;192;288
863;312;394;152;225
864;570;143;314;116
865;646;172;265;115
866;577;344;254;283
867;108;126;10;126
868;329;178;43;167
869;578;427;527;372
870;27;160;26;151
871;205;637;107;268
872;420;402;402;373
873;573;61;279;36
874;55;358;47;246
875;307;524;260;501
876;484;77;220;41
877;192;264;28;157
878;24;403;4;176
879;33;589;20;506
880;116;454;79;378
881;94;666;86;625
882;5;203;2;143
883;608;364;548;343
884;242;705;187;622
885;522;257;503;240
886;19;371;13;180
887;199;836;184;791
888;18;415;16;366
889;237;407;178;348
890;41;152;27;130
891;528;68;524;64
892;636;112;271;91
893;375;234;224;168
894;14;472;7;399
895;138;529;111;517
896;309;459;134;174
897;200;727;167;684
898;467;228;398;194
899;379;624;270;537
900;3;592;0;488
901;183;444;45;158
902;329;468;203;333
903;120;345;112;257
904;144;736;91;609
905;341;124;91;104
906;29;474;6;352
907;39;333;31;256
908;428;277;201;148
909;533;264;477;257
910;206;361;32;60
911;86;858;25;684
912;1;321;0;215
913;167;427;117;338
914;440;276;130;162
915;525;183;165;153
916;509;382;34;92
917;672;204;452;138
918;151;876;124;845
919;6;239;5;147
920;615;187;437;166
921;1;466;0;384
922;55;729;55;725
923;577;363;401;306
924;493;286;103;168
925;4;1069;1;314
926;312;525;265;491
927;399;162;386;157
928;560;78;556;76
929;490;507;152;431
930;12;816;11;807
931;317;301;127;272
932;530;291;375;200
933;2;127;1;95
934;403;277;388;206
935;675;96;530;76
936;559;439;522;372
937;482;484;439;451
938;99;547;22;217
939;354;316;271;228
940;151;672;126;530
941;580;353;513;330
942;8;461;0;198
943;86;936;58;297
944;4;418;4;347
945;291;623;285;608
946;77;557;62;436
947;74;849;63;744
948;244;247;142;226
949;63;221;33;177
950;429;267;128;116
951;494;0;490;0
952;319;650;214;518
953;134;157;126;155
954;515;410;437;332
955;496;192;164;102
956;287;403;246;374
957;559;236;185;149
958;287;217;195;158
959;0;825;0;612
960;1;301;1;281
961;59;271;53;261
962;527;81;281;76
963;427;223;409;220
964;286;538;268;516
965;0;440;0;215
966;153;341;21;151
967;331;96;331;95
968;623;236;155;107
969;251;153;80;120
970;425;448;186;262
971;296;414;149;292
972;228;278;105;231
973;116;294;58;223
974;166;298;130;247
975;479;413;278;385
976;438;342;291;204
977;2;149;1;124
978;73;390;66;336
979;436;630;365;557
980;145;690;74;403
981;376;430;305;403
982;427;410;317;341
983;418;367;142;216
984;169;402;56;258
985;374;422;270;323
986;376;266;189;163
987;101;256;44;220
988;464;164;317;117
989;51;429;43;372
990;692;72;61;27
991;554;142;150;92
992;336;673;327;646
993;66;487;58;484
994;443;334;207;193
995;207;621;201;522
996;508;195;416;179
997;623;36;272;31
998;276;419;224;359
999;317;324;169;231
1000;158;507;44;356
1001;257;509;220;488
1002;10;181;2;118
1003;532;141;204;110
1004;162;257;10;86
1005;580;186;66;95
1006;341;276;256;185
1007;26;107;24;96
1008;311;321;120;152
1009;387;258;233;196
1010;540;321;532;308
1011;285;320;247;293
1012;582;209;409;168
1013;206;553;199;544
1014;154;383;15;102
1015;533;53;505;51
1016;422;112;355;110
1017;352;455;7;188
1018;126;190;80;141
1019;582;150;356;88
1020;121;460;115;432
1021;533;67;280;52
1022;243;481;114;360
1023;237;55;235;51
1024;274;399;236;359
1025;422;610;106;348
1026;375;487;126;291
1027;1;364;1;129
1028;155;573;109;482
1029;367;465;312;440
1030;31;751;22;568
1031;6;307;6;289
1032;155;308;57;166
1033;391;371;363;349
1034;91;531;77;455
1035;125;208;50;82
1036;607;169;230;82
1037;20;822;17;795
1038;112;704;104;659
1039;170;508;144;438
1040;652;244;625;230
1041;129;396;94;329
1042;318;309;98;158
1043;43;741;27;472
1044;40;982;7;216
1045;675;96;202;78
1046;265;609;250;586
1047;196;571;165;460
1048;139;609;80;337
1049;497;347;129;231
1050;529;5;271;3
1051;43;692;21;433
1052;0;787;0;704
1053;186;154;117;140
1054;604;60;572;58
1055;201;438;132;368
1056;351;397;305;352
1057;577;147;568;123
1058;71;914;20;456
1059;255;680;151;346
1060;95;519;65;234
1061;451;296;200;211
1062;333;440;312;407
1063;390;244;196;143
1064;5;417;1;248
1065;594;279;533;238
1066;566;152;521;140
1067;364;296;156;172
1068;265;410;226;396
1069;177;678;175;668
1070;166;558;73;230
1071;222;309;219;271
1072;66;562;15;450
1073;88;400;85;381
1074;509;297;382;172
1075;524;112;132;35
1076;328;596;291;535
1077;399;95;142;67
1078;397;517;380;502
1079;237;342;235;338
1080;72;868;68;833
1081;498;117;123;65
1082;198;139;96;109
1083;206;667;181;650
1084;523;278;159;170
1085;73;505;22;229
1086;563;207;347;73
1087;341;300;323;293
1088;429;549;409;521
1089;64;668;56;591
1090;147;344;101;278
1091;602;98;516;68
1092;14;389;7;300
1093;239;592;208;512
1094;255;137;234;119
1095;278;146;132;121
1096;21;683;8;505
1097;472;152;252;116
1098;330;326;319;320
1099;171;562;169;559
1100;66;491;58;324
1101;5;220;3;192
1102;35;133;35;119
1103;383;208;309;196
1104;601;14;360;9
1105;3;201;0;188
1106;524;359;120;128
1107;549;202;525;168
1108;25;264;25;227
1109;421;108;267;105
1110;593;152;327;118
1111;240;383;98;252
1112;496;63;375;59
1113;368;533;185;274
1114;383;301;202;156
1115;14;483;9;366
1116;15;339;9;220
1117;333;313;165;223
1118;459;219;297;181
1119;101;765;94;736
1120;187;848;161;771
1121;438;162;235;125
1122;88;486;13;175
1123;294;289;162;205
1124;129;535;57;283
1125;349;513;245;412
1126;448;253;362;243
1127;6;677;5;528
1128;100;710;80;562
1129;5;349;1;187
1130;173;718;165;638
1131;18;435;18;387
1132;340;330;261;251
1133;588;142;319;117
1134;86;361;22;281
1135;305;191;228;162
1136;1;202;1;157
1137;45;205;15;145
1138;476;423;167;276
1139;0;620;0;582
1140;99;507;89;324
1141;106;465;105;464
1142;450;455;264;379
1143;283;285;274;246
1144;214;353;183;298
1145;436;408;48;135
1146;134;297;132;274
1147;626;112;436;48
1148;35;201;30;191
1149;223;361;161;245
1150;252;457;71;271
1151;451;179;358;149
1152;13;305;7;234
1153;559;220;543;214
1154;6;441;1;339
1155;149;535;117;470
1156;419;330;311;274
1157;392;169;338;159
1158;295;528;156;376
1159;516;134;353;79
1160;490;237;169;99
1161;34;671;24;566
1162;201;529;101;302
1163;31;621;5;555
1164;4;278;0;139
1165;148;696;119;623
1166;524;385;494;307
1167;328;479;312;447
1168;342;358;203;214
1169;2;225;2;163
1170;489;117;371;72
1171;624;220;542;186
1172;348;270;310;255
1173;284;364;242;321
1174;267;552;239;531
1175;218;427;211;393
1176;58;391;42;331
1177;15;363;13;251
1178;516;235;182;110
1179;523;115;431;92
1180;458;224;313;125
1181;595;64;239;50
1182;444;254;241;137
1183;357;452;269;356
1184;530;376;392;345
1185;398;284;262;258
1186;500;457;274;434
1187;572;230;187;173
1188;559;157;550;129
1189;435;180;128;138
1190;414;386;154;203
1191;10;206;8;185
1192;396;426;139;245
1193;296;515;283;476
1194;576;135;350;132
1195;24;515;20;387
1196;94;186;72;179
1197;10;427;5;263
1198;97;443;94;425
1199;167;286;158;256
1200;505;298;215;255
1201;526;159;402;107
1202;610;197;220;92
1203;17;195;14;181
1204;263;256;164;223
1205;370;337;323;293
1206;4;392;0;193
1207;452;248;404;221
1208;275;724;258;698
1209;346;331;167;227
1210;606;63;172;52
1211;544;136;389;97
1212;102;527;96;493
1213;442;294;379;194
1214;18;426;7;157
1215;197;606;192;603
1216;438;118;289;45
1217;214;448;73;188
1218;553;343;30;63
1219;420;464;225;281
1220;155;333;59;175
1221;257;312;208;277
1222;363;568;348;529
1223;522;276;300;261
1224;404;176;309;121
1225;260;587;197;481
1226;172;385;132;332
1227;146;534;138;363
1228;236;408;132;261
1229;329;589;190;384
1230;4;544;1;461
1231;11;92;10;85
1232;12;481;7;338
1233;100;720;57;652
1234;170;71;68;62
1235;435;161;399;135
1236;196;243;6;84
1237;506;108;270;80
1238;54;789;47;675
1239;538;299;168;195
1240;394;104;302;80
1241;170;475;114;415
1242;390;357;250;310
1243;62;428;43;339
1244;337;315;202;173
1245;252;488;130;263
1246;10;146;7;132
1247;337;446;324;318
1248;120;254;93;190
1249;88;403;49;109
1250;372;427;120;127
1251;233;405;191;355
1252;325;324;228;277
1253;98;265;44;193
1254;326;151;82;99
1255;303;278;189;229
1256;403;353;121;190
1257;391;330;378;311
1258;579;69;413;64
1259;28;186;27;164
1260;27;605;27;576
1261;477;458;23;84
1262;50;677;36;526
1263;508;119;148;74
1264;320;377;319;374
1265;262;123;89;82
1266;95;210;42;155
1267;52;417;48;400
1268;18;427;10;149
1269;401;448;243;270
1270;370;445;148;185
1271;7;377;5;250
1272;568;126;254;81
1273;376;383;133;219
1274;22;146;22;125
1275;470;177;379;167
1276;510;422;209;212
1277;103;697;98;607
1278;482;424;415;353
1279;33;567;24;499
1280;87;636;56;533
1281;441;212;90;59
1282;311;348;260;308
1283;226;280;178;256
1284;341;453;329;402
1285;432;198;214;77
1286;420;264;331;212
1287;358;329;207;183
1288;222;580;189;513
1289;217;403;178;339
1290;399;306;259;177
1291;29;231;27;178
1292;256;169;141;143
1293;104;140;75;131
1294;20;193;12;152
1295;19;667;3;489
1296;301;405;98;109
1297;484;159;446;156
1298;367;403;311;386
1299;203;521;179;493
1300;305;290;257;210
1301;537;167;521;152
1302;628;124;122;28
1303;63;478;54;226
1304;287;435;235;397
1305;11;615;11;402
1306;415;113;360;107
1307;40;207;31;197
1308;488;199;197;144
1309;318;355;305;318
1310;523;87;240;42
1311;463;144;341;118
1312;344;123;89;107
1313;50;379;2;108
1314;52;119;41;108
1315;2;209;1;175
1316;138;450;45;201
1317;237;321;235;315
1318;451;245;292;178
1319;124;913;106;779
1320;409;377;310;334
1321;1;134;0;99
1322;366;478;212;290
1323;359;275;134;138
1324;469;181;432;155
1325;463;326;454;313
1326;506;310;269;205
1327;208;510;152;389
1328;3;215;3;137
1329;147;86;103;83
1330;43;448;35;236
1331;561;185;308;88
1332;113;292;70;204
1333;142;262;128;223
1334;476;50;174;28
1335;244;478;94;287
1336;279;416;221;366
1337;315;522;128;329
1338;456;344;226;156
1339;202;454;154;421
1340;376;494;94;147
1341;230;583;146;528
1342;541;232;527;230
1343;166;409;104;194
1344;257;310;241;242
